catalog_number	name	basin	timestamp	lat_y	lon_x	max_wind_kts	min_cp_mb	sequence	fspeed_kts	is_landfall_point	rmax_nmi	gwaf
	MATTHEW		2016-09-30-10-00	14.033333333333333	-69.7	85.0	979.0	46	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-11-00	14.016666666666666	-69.80000000000001	85.0	979.0	47	4.852630783857799	0	15	0.9
	MATTHEW		2016-09-30-12-00	14.0	-69.9	85.0	979.0	48	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-13-00	13.95	-70.05000000000001	85.0	979.0	49	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-14-00	13.899999999999999	-70.2	85.0	979.0	50	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-15-00	13.849999999999998	-70.35	85.0	979.0	51	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-16-00	13.799999999999999	-70.5	85.0	979.0	52	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-17-00	13.75	-70.65	85.0	979.0	53	5.909765836104879	0	15	0.9
	MATTHEW		2016-09-30-18-00	13.7	-70.8	100.0	968.0	54	9.245180269820285	0	15	0.9
	MATTHEW		2016-09-30-19-00	13.666666666666666	-70.93333333333334	100.0	968.0	55	9.245180269820285	0	15	0.9
	MATTHEW		2016-09-30-20-00	13.633333333333333	-71.06666666666666	100.0	968.0	56	9.245180269820285	0	15	0.9
	MATTHEW		2016-09-30-21-00	13.6	-71.19999999999999	100.0	968.0	57	9.245180269820285	0	15	0.9
	MATTHEW		2016-09-30-22-00	13.566666666666666	-71.33333333333333	100.0	968.0	58	9.245180269820285	0	15	0.9
	MATTHEW		2016-09-30-23-00	13.533333333333333	-71.46666666666667	100.0	968.0	59	9.245180269820285	0	15	0.9
	MATTHEW		2016-10-01-00-00	13.5	-71.6	120.0	949.0	60	8.0341897107275	0	15	0.9
	MATTHEW		2016-10-01-01-00	13.433333333333334	-71.83333333333333	120.0	949.0	61	8.0341897107275	0	15	0.9
	MATTHEW		2016-10-01-02-00	13.366666666666667	-72.06666666666666	120.0	949.0	62	8.0341897107275	0	15	0.9
	MATTHEW		2016-10-01-03-00	13.3	-72.3	140.0	941.0	63	14.203696887050931	0	15	0.9
	MATTHEW		2016-10-01-04-00	13.3	-72.46666666666667	140.0	941.0	64	14.203696887050931	0	15	0.9
	MATTHEW		2016-10-01-05-00	13.3	-72.63333333333333	140.0	941.0	65	14.203696887050931	0	15	0.9
	MATTHEW		2016-10-01-06-00	13.3	-72.8	135.0	942.0	66	9.738352644675647	0	15	0.9
	MATTHEW		2016-10-01-07-00	13.316666666666666	-72.9	135.0	942.0	67	9.738352644675647	0	15	0.9
	MATTHEW		2016-10-01-08-00	13.333333333333334	-73.0	135.0	942.0	68	9.738352644675647	0	15	0.9
	MATTHEW		2016-10-01-09-00	13.350000000000001	-73.1	135.0	942.0	69	9.738352644675647	0	15	0.9
	MATTHEW		2016-10-01-10-00	13.366666666666667	-73.2	135.0	942.0	70	9.738352644675647	0	15	0.9
	MATTHEW		2016-10-01-11-00	13.383333333333333	-73.30000000000001	135.0	942.0	71	9.738352644675647	0	15	0.9
	MATTHEW		2016-10-01-12-00	13.4	-73.4	125.0	947.0	72	5.9268886085961014	0	15	0.9
	MATTHEW		2016-10-01-13-00	13.416666666666668	-73.4	125.0	947.0	73	5.9268886085961014	0	15	0.9
	MATTHEW		2016-10-01-14-00	13.433333333333334	-73.4	125.0	947.0	74	5.9268886085961014	0	15	0.9
	MATTHEW		2016-10-01-15-00	13.45	-73.4	125.0	947.0	75	5.9268886085961014	0	15	0.9
	MATTHEW		2016-10-01-16-00	13.466666666666667	-73.4	125.0	947.0	76	5.9268886085961014	0	15	0.9
	MATTHEW		2016-10-01-17-00	13.483333333333334	-73.4	125.0	947.0	77	5.9268886085961014	0	15	0.9
	MATTHEW		2016-10-01-18-00	13.5	-73.4	130.0	940.0	78	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-01-19-00	13.533333333333333	-73.42222222222223	130.0	940.0	79	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-01-20-00	13.566666666666666	-73.44444444444446	130.0	940.0	80	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-01-21-00	13.6	-73.46666666666668	130.0	940.0	81	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-01-22-00	13.633333333333333	-73.48888888888891	130.0	940.0	82	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-01-23-00	13.666666666666666	-73.51111111111112	130.0	940.0	83	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-02-00-00	13.7	-73.53333333333333	130.0	940.0	84	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-02-01-00	13.733333333333333	-73.55555555555556	130.0	940.0	85	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-02-02-00	13.766666666666666	-73.57777777777778	130.0	940.0	86	1.0006746501035966	0	15	0.9
	MATTHEW		2016-10-02-03-00	13.8	-73.6	130.0	940.0	87	2.384623913698734	0	15	0.9
	MATTHEW		2016-10-02-04-00	13.816666666666666	-73.68333333333332	130.0	940.0	88	2.384623913698734	0	15	0.9
	MATTHEW		2016-10-02-05-00	13.833333333333334	-73.76666666666665	130.0	940.0	89	2.384623913698734	0	15	0.9
	MATTHEW		2016-10-02-06-00	13.850000000000001	-73.85	130.0	940.0	90	2.384623913698734	0	15	0.9
	MATTHEW		2016-10-02-07-00	13.866666666666667	-73.93333333333332	130.0	940.0	91	2.384623913698734	0	15	0.9
	MATTHEW		2016-10-02-08-00	13.883333333333333	-74.01666666666665	130.0	940.0	92	2.384623913698734	0	15	0.9
	MATTHEW		2016-10-02-09-00	13.9	-74.1	130.0	940.0	93	4.959895630356351	0	15	0.9
	MATTHEW		2016-10-02-10-00	13.916666666666668	-74.18333333333332	130.0	940.0	94	4.959895630356351	0	15	0.9
	MATTHEW		2016-10-02-11-00	13.933333333333334	-74.26666666666665	130.0	940.0	95	4.959895630356351	0	15	0.9
	MATTHEW		2016-10-02-12-00	13.95	-74.35	130.0	940.0	96	4.959895630356351	0	15	0.9
	MATTHEW		2016-10-02-13-00	13.966666666666667	-74.43333333333332	130.0	940.0	97	4.959895630356351	0	15	0.9
	MATTHEW		2016-10-02-14-00	13.983333333333334	-74.51666666666665	130.0	940.0	98	4.959895630356351	0	15	0.9
	MATTHEW		2016-10-02-15-00	14.0	-74.6	120.0	947.0	99	4.95784097425671	0	15	0.9
	MATTHEW		2016-10-02-16-00	14.1	-74.63333333333333	120.0	947.0	100	4.95784097425671	0	15	0.9
	MATTHEW		2016-10-02-17-00	14.2	-74.66666666666666	120.0	947.0	101	4.95784097425671	0	15	0.9
	MATTHEW		2016-10-02-18-00	14.299999999999999	-74.69999999999999	120.0	947.0	102	4.95784097425671	0	15	0.9
	MATTHEW		2016-10-02-19-00	14.399999999999999	-74.73333333333332	120.0	947.0	103	4.95784097425671	0	15	0.9
	MATTHEW		2016-10-02-20-00	14.5	-74.76666666666665	120.0	947.0	104	4.95784097425671	0	15	0.9
	MATTHEW		2016-10-02-21-00	14.6	-74.8	125.0	945.0	105	6.309483772559855	0	15	0.9
	MATTHEW		2016-10-02-22-00	14.616666666666667	-74.83333333333333	125.0	945.0	106	6.309483772559855	0	15	0.9
	MATTHEW		2016-10-02-23-00	14.633333333333333	-74.86666666666666	125.0	945.0	107	6.309483772559855	0	15	0.9
	MATTHEW		2016-10-03-00-00	14.649999999999999	-74.89999999999999	125.0	945.0	108	6.309483772559855	0	15	0.9
	MATTHEW		2016-10-03-01-00	14.666666666666666	-74.93333333333332	125.0	945.0	109	6.309483772559855	0	15	0.9
	MATTHEW		2016-10-03-02-00	14.683333333333334	-74.96666666666667	125.0	945.0	110	6.309483772559855	0	15	0.9
	MATTHEW		2016-10-03-03-00	14.7	-75.0	125.0	943.0	111	2.179573486016566	0	15	0.9
	MATTHEW		2016-10-03-04-00	14.783333333333333	-74.98333333333333	125.0	943.0	112	2.179573486016566	0	15	0.9
	MATTHEW		2016-10-03-05-00	14.866666666666667	-74.96666666666667	125.0	943.0	113	2.179573486016566	0	15	0.9
	MATTHEW		2016-10-03-06-00	14.95	-74.95	125.0	943.0	114	2.179573486016566	0	15	0.9
	MATTHEW		2016-10-03-07-00	15.033333333333333	-74.93333333333334	125.0	943.0	115	2.179573486016566	0	15	0.9
	MATTHEW		2016-10-03-08-00	15.116666666666667	-74.91666666666667	125.0	943.0	116	2.179573486016566	0	15	0.9
	MATTHEW		2016-10-03-09-00	15.2	-74.9	115.0	943.0	117	5.095924348830633	0	15	0.9
	MATTHEW		2016-10-03-10-00	15.266666666666666	-74.91666666666667	115.0	943.0	118	5.095924348830633	0	15	0.9
	MATTHEW		2016-10-03-11-00	15.333333333333332	-74.93333333333334	115.0	943.0	119	5.095924348830633	0	15	0.9
	MATTHEW		2016-10-03-12-00	15.399999999999999	-74.95	115.0	943.0	120	5.095924348830633	0	15	0.9
	MATTHEW		2016-10-03-13-00	15.466666666666665	-74.96666666666667	115.0	943.0	121	5.095924348830633	0	15	0.9
	MATTHEW		2016-10-03-14-00	15.533333333333331	-74.98333333333333	115.0	943.0	122	5.095924348830633	0	15	0.9
	MATTHEW		2016-10-03-15-00	15.6	-75.0	120.0	941.0	123	4.117320238630247	0	15	0.9
	MATTHEW		2016-10-03-16-00	15.716666666666667	-74.95	120.0	941.0	124	4.117320238630247	0	15	0.9
	MATTHEW		2016-10-03-17-00	15.833333333333334	-74.9	120.0	941.0	125	4.117320238630247	0	15	0.9
	MATTHEW		2016-10-03-18-00	15.950000000000001	-74.85000000000001	120.0	941.0	126	4.117320238630247	0	15	0.9
	MATTHEW		2016-10-03-19-00	16.066666666666666	-74.80000000000001	120.0	941.0	127	4.117320238630247	0	15	0.9
	MATTHEW		2016-10-03-20-00	16.183333333333334	-74.75	120.0	941.0	128	4.117320238630247	0	15	0.9
	MATTHEW		2016-10-03-21-00	16.3	-74.7	120.0	940.0	129	7.576121079316491	0	15	0.9
	MATTHEW		2016-10-03-22-00	16.4	-74.68333333333334	120.0	940.0	130	7.576121079316491	0	15	0.9
	MATTHEW		2016-10-03-23-00	16.5	-74.66666666666667	120.0	940.0	131	7.576121079316491	0	15	0.9
	MATTHEW		2016-10-04-00-00	16.6	-74.65	120.0	940.0	132	7.576121079316491	0	15	0.9
	MATTHEW		2016-10-04-01-00	16.7	-74.63333333333334	120.0	940.0	133	7.576121079316491	0	15	0.9
	MATTHEW		2016-10-04-02-00	16.799999999999997	-74.61666666666667	120.0	940.0	134	7.576121079316491	0	15	0.9
	MATTHEW		2016-10-04-03-00	16.9	-74.6	125.0	934.0	135	6.080148211781765	0	15	0.9
	MATTHEW		2016-10-04-04-00	17.049999999999997	-74.56666666666666	125.0	934.0	136	6.080148211781765	0	15	0.9
	MATTHEW		2016-10-04-05-00	17.2	-74.53333333333333	125.0	934.0	137	6.080148211781765	0	15	0.9
	MATTHEW		2016-10-04-06-00	17.35	-74.5	125.0	934.0	138	6.080148211781765	0	15	0.9
	MATTHEW		2016-10-04-07-00	17.5	-74.46666666666667	125.0	934.0	139	6.080148211781765	0	15	0.9
	MATTHEW		2016-10-04-08-00	17.65	-74.43333333333334	125.0	934.0	140	6.080148211781765	0	15	0.9
	MATTHEW		2016-10-04-09-00	17.8	-74.4	125.0	934.0	141	9.206434696871858	0	15	0.9
	MATTHEW		2016-10-04-10-00	18.166666666666668	-74.36666666666667	125.0	934.0	142	9.206434696871858	0	15	0.9
	MATTHEW		2016-10-04-11-00	18.53333333333333	-74.33333333333334	125.0	934.0	143	9.206434696871858	0	15	0.9
	MATTHEW		2016-10-04-12-00	18.9	-74.3	125.0	950.0	144	22.096641131343855	0	15	0.9
	MATTHEW		2016-10-04-13-00	19.049999999999997	-74.3	125.0	950.0	145	22.096641131343855	0	15	0.9
	MATTHEW		2016-10-04-14-00	19.2	-74.3	125.0	950.0	146	22.096641131343855	0	15	0.9
	MATTHEW		2016-10-04-15-00	19.35	-74.3	125.0	950.0	147	22.096641131343855	0	15	0.9
	MATTHEW		2016-10-04-16-00	19.5	-74.3	125.0	950.0	148	22.096641131343855	0	15	0.9
	MATTHEW		2016-10-04-17-00	19.65	-74.3	125.0	950.0	149	22.096641131343855	0	15	0.9
	MATTHEW		2016-10-04-18-00	19.8	-74.3	120.0	949.0	150	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-04-19-00	19.866666666666667	-74.3111111111111	120.0	949.0	151	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-04-20-00	19.933333333333334	-74.32222222222222	120.0	949.0	152	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-04-21-00	20.0	-74.33333333333333	120.0	949.0	153	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-04-22-00	20.066666666666666	-74.34444444444443	120.0	949.0	154	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-04-23-00	20.133333333333333	-74.35555555555555	120.0	949.0	155	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-05-00-00	20.2	-74.36666666666667	120.0	949.0	156	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-05-01-00	20.266666666666666	-74.37777777777778	120.0	949.0	157	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-05-02-00	20.333333333333332	-74.38888888888889	120.0	949.0	158	9.00607185093242	0	15	0.9
	MATTHEW		2016-10-05-03-00	20.4	-74.4	115.0	950.0	159	4.051428730981556	0	15	0.9
	MATTHEW		2016-10-05-04-00	20.516666666666666	-74.43333333333334	115.0	950.0	160	4.051428730981556	0	15	0.9
	MATTHEW		2016-10-05-05-00	20.633333333333333	-74.46666666666667	115.0	950.0	161	4.051428730981556	0	15	0.9
	MATTHEW		2016-10-05-06-00	20.75	-74.5	115.0	950.0	162	4.051428730981556	0	15	0.9
	MATTHEW		2016-10-05-07-00	20.866666666666667	-74.53333333333333	115.0	950.0	163	4.051428730981556	0	15	0.9
	MATTHEW		2016-10-05-08-00	20.983333333333334	-74.56666666666666	115.0	950.0	164	4.051428730981556	0	15	0.9
	MATTHEW		2016-10-05-09-00	21.1	-74.6	110.0	962.0	165	7.250428125528448	0	15	0.9
	MATTHEW		2016-10-05-10-00	21.21666666666667	-74.69999999999999	110.0	962.0	166	7.250428125528448	0	15	0.9
	MATTHEW		2016-10-05-11-00	21.333333333333336	-74.8	110.0	962.0	167	7.250428125528448	0	15	0.9
	MATTHEW		2016-10-05-12-00	21.450000000000003	-74.9	110.0	962.0	168	7.250428125528448	0	15	0.9
	MATTHEW		2016-10-05-13-00	21.56666666666667	-75.0	110.0	962.0	169	7.250428125528448	0	15	0.9
	MATTHEW		2016-10-05-14-00	21.683333333333337	-75.1	110.0	962.0	170	7.250428125528448	0	15	0.9
	MATTHEW		2016-10-05-15-00	21.8	-75.2	105.0	962.0	171	8.960658283208911	0	15	0.9
	MATTHEW		2016-10-05-16-00	21.900000000000002	-75.23333333333333	105.0	962.0	172	8.960658283208911	0	15	0.9
	MATTHEW		2016-10-05-17-00	22.0	-75.26666666666667	105.0	962.0	173	8.960658283208911	0	15	0.9
	MATTHEW		2016-10-05-18-00	22.1	-75.3	105.0	963.0	174	6.28445114804829	0	15	0.9
	MATTHEW		2016-10-05-19-00	22.233333333333334	-75.43333333333334	105.0	963.0	175	6.28445114804829	0	15	0.9
	MATTHEW		2016-10-05-20-00	22.366666666666667	-75.56666666666666	105.0	963.0	176	6.28445114804829	0	15	0.9
	MATTHEW		2016-10-05-21-00	22.5	-75.7	105.0	963.0	177	10.90618157771358	0	15	0.9
	MATTHEW		2016-10-05-22-00	22.666666666666668	-75.8	105.0	963.0	178	10.90618157771358	0	15	0.9
	MATTHEW		2016-10-05-23-00	22.833333333333336	-75.9	105.0	963.0	179	10.90618157771358	0	15	0.9
	MATTHEW		2016-10-06-00-00	23.0	-76.0	100.0	962.0	180	11.43644871575958	0	15	0.9
	MATTHEW		2016-10-06-01-00	23.133333333333333	-76.13333333333334	100.0	962.0	181	11.43644871575958	0	15	0.9
	MATTHEW		2016-10-06-02-00	23.266666666666666	-76.26666666666668	100.0	962.0	182	11.43644871575958	0	15	0.9
	MATTHEW		2016-10-06-03-00	23.4	-76.4	100.0	961.0	183	10.873215387937172	0	15	0.9
	MATTHEW		2016-10-06-04-00	23.5	-76.5	100.0	961.0	184	10.873215387937172	0	15	0.9
	MATTHEW		2016-10-06-05-00	23.6	-76.6	100.0	961.0	185	10.873215387937172	0	15	0.9
	MATTHEW		2016-10-06-06-00	23.7	-76.7	100.0	954.0	186	8.145077117409011	0	15	0.9
	MATTHEW		2016-10-06-07-00	23.866666666666667	-76.83333333333333	100.0	954.0	187	8.145077117409011	0	15	0.9
	MATTHEW		2016-10-06-08-00	24.03333333333333	-76.96666666666667	100.0	954.0	188	8.145077117409011	0	15	0.9
